"Z1","Z2","Z3","Z4","Site","Sol"
-0.117574806397252,-1.12521927015675,-0.69305723468672,-1.63166038424751,"292-11_A","Alluvial"
0.79546218608643,-1.31510228354503,-1.12424455423007,-0.732056224944717,"292-11_B","Alluvial"
2.47484678508564,-1.88944841713346,-1.11047755180638,-0.77338943962777,"292-11_H","Alluvial"
2.45679258799675,-1.67701157447646,-0.430559062375131,0.132296306726903,"292-11_M","Alluvial"
3.31212720921572,-3.35269634808439,-0.320435213954631,-1.76358243351069,"292-11_N","Alluvial"
3.44062896793357,0.260071692948826,-1.41343050637273,-1.44308672079811,"292-11_O","Alluvial"
7.78643472458629,2.69648427810702,-4.15203431896785,1.74575946646123,"292-11_R","Alluvial"
4.88859597982334,0.184315898098233,0.511658691009882,-0.228646809136709,"292-12_M","Alluvial"
3.27725970949362,0.2883113956799,0.454290534119731,-0.42234823923005,"292-12_P","Alluvial"
6.44406187916359,0.897842661100344,-0.708721965111278,-0.961242925865054,"292-12_T","Alluvial"
-0.210237050163864,0.867945441936795,-0.398384371035029,-0.721440293575427,"292-12_U","Alluvial"
6.87610973730373,-2.15977388722914,1.88332939019921,-1.15825290492053,"292-12_W","Alluvial"
2.78712870074761,-0.812539254034969,0.649587175122936,-2.16294000190901,"292-12_Y","Alluvial"
1.82969257105862,-1.7280017854484,-0.152480224141686,-1.11357086089833,"292-13_K","Alluvial"
4.5617117997888,-2.91707417821748,1.43529207287388,-1.79750573168628,"292-13_P","Alluvial"
3.19577768671153,0.555467429402984,-0.182490237405944,-0.218391754007563,"292-13_U","Alluvial"
0.0020080378381347,-0.0316212256447663,0.198814557381369,-1.88526453911537,"292-14_I","Alluvial"
7.80862806825856,2.16407590483419,-2.60082836127814,1.20679420492983,"292-14_R","Alluvial"
8.58154405586946,3.65898517093099,-4.28390182470586,2.58680051603821,"292-14_S","Alluvial"
6.24870340335205,0.169084440272126,-1.43024556231317,0.688499201437955,"292-14_X","Alluvial"
-2.50110073376402,-0.577928571130378,-0.750128550860398,-0.35905946699563,"292-21_K","Grès"
-0.498421499935028,-1.60048615378689,0.546728379424103,0.198637703898948,"292-21_Q","Grès"
-2.60494097028864,0.032227933884907,-1.03208457947354,-0.204399648718929,"292-21_T","Grès"
-1.57034047283401,-0.931583229582728,-0.752539482293664,0.0268716662332469,"292-21_V","Grès"
-1.35839721183107,-0.691920124926092,-0.138518434391208,0.764215243695866,"292-21_Y","Grès"
-1.32716926088323,-1.00156045845958,-0.664480879087392,-0.243532712009323,"292-22_D","Grès"
-2.09233796564341,-0.560049271239093,-1.07278257503383,0.118721280905974,"292-22_J","Grès"
1.37035317263985,-1.76846111660383,2.21854615672833,0.579243943984936,"292-22_N","Grès"
-1.27091323569722,-1.12672611266591,-0.34146349140186,0.0638282138794627,"292-23_D","Grès"
-0.219270402481191,-2.0309373832002,0.0460999105870164,-0.496770333419391,"292-23_H","Grès"
-0.308813575969865,-1.67724650981744,0.123522762908823,-0.177495180485649,"292-23_I","Grès"
-0.816193226248618,-0.730127446755293,-0.199823934817338,0.582519453344723,"292-23_O","Grès"
-1.28498089600483,-1.24952792713889,-0.289003949630576,0.152801821552419,"292-23_P","Grès"
0.786101705458583,-2.56144123433185,1.46334244512204,0.303404420174473,"292-23_S","Grès"
-1.73990726614331,-1.40401409514362,-0.982504115851505,-0.0256496803055266,"292-23_T","Grès"
-0.665983014799422,-0.764489802371653,1.04167492366513,-0.0537275275353256,"292-23_W","Grès"
-0.0431722855049179,-2.49886698698329,0.365004994943786,0.327832832385917,"292-24_A","Grès"
-0.232264590128509,-1.70212831248068,1.70306585119925,1.23732258699293,"292-24_M","Grès"
0.12152710666664,-1.49944320977935,2.3576094901592,2.06459630074341,"292-24_N","Grès"
-1.71516134081388,-1.27134744601913,-0.550728413770788,0.942089361676743,"292-24_O","Grès"
-1.12319762875097,-1.42963084114053,0.996873005272056,0.696916623288116,"292-31_B","Grès"
-2.24023523904348,-0.964789961637722,0.329189179038937,-0.182879523203329,"292-31_E","Grès"
-0.50167345132402,-1.45160740482508,0.125162301973326,1.12207081174861,"292-31_K","Grès"
-0.653873453103014,-0.954551921074189,1.36478307880763,1.00853436427074,"292-31_X","Grès"
-1.83768440869032,-1.92428726252531,-1.05653214915844,0.752277974885977,"292-32_A","Grès"
-1.23040047886759,-1.13789211244954,0.994828720322801,0.330249051410984,"292-32_C","Grès"
-1.67554354945868,-0.635520508865225,-0.153910911132052,1.2886606201524,"292-32_G","Grès"
-2.68277173932678,-0.714560507795663,-1.22398541302406,0.671534136669574,"292-32_M","Grès"
-1.8872488949292,-1.08898851729486,-1.37091466234288,0.198498562929793,"292-33_A","Grès"
-0.589340244761003,-1.69541825138898,1.04297701124557,2.04604384078911,"292-33_C","Grès"
-1.25248540317557,-1.2489070935778,-0.48765325337786,0.21456944835837,"292-33_G","Grès"
-1.1324558416565,-0.756225121704793,0.193040202084916,0.909167408628629,"292-33_N","Grès"
-2.12382896619169,-0.3546923176615,-0.688543988115507,0.753595675945047,"292-33_P","Grès"
-0.722355991740636,-0.499557350761489,1.52338957482824,2.27249131027109,"292-33_T","Grès"
-1.15929096226558,-1.17347850251605,0.833187726213148,3.68723952063175,"292-33_U","Grès"
-0.94384418670052,-1.90327753445748,0.365056570439012,2.15494518701127,"292-33_X","Grès"
-2.10292939338077,-0.920188592627126,-0.624442974822538,0.312371177703847,"292-34_O","Grès"
-1.50551379259082,-1.2927730133081,0.797986271940926,0.441476329591917,"292-34_R","Grès"
