"Famille";"Genre";"Espece";"TxCroissance";"Densite";"Hauteur"
"Euphorbiaceae";"Endospermum";"Endospermum_diadenum";0.013514656;0.366666667;48.53780707
"Annonaceae";"Enicosanthum";"Enicosanthum_erianthoides";0.017289058;0.493333333;22.10700997
"Simaroubaceae";"Eurycoma";"Eurycoma_longifolia";0.006753853;0.505;18.30030158
"Lauraceae";"Eusideroxylon";"Eusideroxylon_zwageri";0.012691433;0.786666667;70.04714518
"Moraceae";"Ficus";"Ficus_treubii";0.033828706;0.398846113;22.10700997
"Fabaceae";"Fordia";"Fordia_splendidissima";0.006859007;0.64;27.81012115
"Clusiaceae";"Garcinia";"Garcinia_forbesii";0.017971762;0.718623128;21.28821855
"Clusiaceae";"Garcinia";"Garcinia_gaudichaudii";0.019994971;0.72;34.64266014
"Clusiaceae";"Garcinia";"Garcinia_miquelii";0.014585624;0.54;22.64531741
"Clusiaceae";"Garcinia";"Garcinia_parvifolia";0.01192723;0.435;40.80763422
"Clusiaceae";"Garcinia";"Garcinia_trianii";0.012379865;0.718623128;18.74008327
"Rubiaceae";"Gardenia";"Gardenia_tubifera";0.02728166;0.67;26.20322778
"Cannabaceae";"Gironniera";"Gironniera_nervosa";0.005981265;0.45;31.31091987
"Anacardiaceae";"Gluta";"Gluta_oba";0.011156657;0.57283;61.02242714
"Anacardiaceae";"Gluta";"Gluta_sabahana";0.007284063;0.53;62.17171151
"Anacardiaceae";"Gluta";"Gluta_velutina";0.007193415;0.25;49.71658008
"Anacardiaceae";"Gluta";"Gluta_wallichii";0.020971326;0.534;48.53780707
"Thymelaeaceae";"Gonystylus";"Gonystylus_consanguineus";0.015292166;0.546190476;38.31138655
"Thymelaeaceae";"Gonystylus";"Gonystylus_stenosepalus";0.007951929;0.546190476;15.55123765
"Myristicaceae";"Gymnacranthera";"Gymnacranthera_forbesii";0.015801832;0.54;39.62039687
"Myristicaceae";"Gymnacranthera";"Gymnacranthera_ocellata";0.009682381;0.551111111;28.41701255
"Proteaceae";"Helicia";"Helicia_fuscotomentosa";0.008594752;0.5914368;23.44212033
"Proteaceae";"Heliciopsis";"Heliciopsis_velutina";0.018829977;0.476666667;23.37619167
"Malvaceae";"Heritiera";"Heritiera_sumatrana";0.007201849;0.53;36.44393207
"Dipterocarpaceae";"Hopea";"Hopea_beccariana";0.018531565;0.692456554;55.83422446
"Myristicaceae";"Horsfieldia";"Horsfieldia_grandis";0.006232328;0.39;37.51620379
"Myristicaceae";"Horsfieldia";"Horsfieldia_polyspherula";0.009495991;0.4460375;24.61493275
"Achariaceae";"Hydnocarpus";"Hydnocarpus_borneensis";0.005538212;0.650771333;40.29338933
"Achariaceae";"Hydnocarpus";"Hydnocarpus_polypetalus";0.009266667;0.55;27.5656849
"Achariaceae";"Hydnocarpus";"Hydnocarpus_subfalcata";0.007941244;0.650771333;21.7675416
"Achariaceae";"Hydnocarpus";"Hydnocarpus_woodii";0.010849145;0.64;48.91640988
"Ixonanthaceae";"Ixonanthes";"Ixonanthes_reticulata";0.015197139;0.62635;53.9055924
"Myristicaceae";"Knema";"Knema_curtisii";0.018612832;0.533326316;63.14320277
"Myristicaceae";"Knema";"Knema_latifolia";0.012589443;0.5;37.24944799
"Myristicaceae";"Knema";"Knema_laurina";0.025797627;0.47;36.82083097
"Myristicaceae";"Knema";"Knema_oblongata";0.010771472;0.57;46.62427698
"Fabaceae";"Koompassia";"Koompassia_malaccensis";0.011403077;0.76;59.94947921
"Sapindaceae";"Lepisanthes";"Lepisanthes_falcata";0.002552939;0.62;12.90793703
"Chrysobalanaceae";"Licania";"Licania_splendens";0.007965745;0.815;41.42088755
"Fagaceae";"Lithocarpus";"Lithocarpus_cantleyanus";0.034988632;0.683908;32.28674127
"Fagaceae";"Lithocarpus";"Lithocarpus_conocarpus";0.027362349;0.683908;36.55179666
