"Site";"Sol";"X";"Y";"Altitude";"Pente";"pH_Superficiel";"pH_Profond";"pH_Intermediaire";"Eau_Superficiel";"Eau_Profond";"Eau_Intermediaire";"Av.P_Superficiel";"Av.P_Profond";"Av.P_Intermediaire";"C_Superficiel";"C_Profond";"C_Intermediaire";"N_Superficiel";"N_Profond";"N_Intermediaire";"NO3_Superficiel";"NO3_Profond";"NO3_Intermediaire";"NH4_Superficiel";"NH4_Profond";"NH4_Intermediaire";"Exc.Ac_Superficiel";"Exc.Ac_Profond";"Exc.Ac_Intermediaire";"Exc.Al_Superficiel";"Exc.Al_Profond";"Exc.Al_Intermediaire";"Exc.Ca_Superficiel";"Exc.Ca_Profond";"Exc.Ca_Intermediaire";"Exc.Mg_Superficiel";"Exc.Mg_Profond";"Exc.Mg_Intermediaire";"Exc.K_Superficiel";"Exc.K_Profond";"Exc.K_Intermediaire";"Exc.Na_Superficiel";"Exc.Na_Profond";"Exc.Na_Intermediaire";"Exc.Cations_Superficiel";"Exc.Cations_Profond";"Exc.Cations_Intermediaire";"SatBase_Superficiel";"SatBase_Profond";"SatBase_Intermediaire";"Argile_Superficiel";"Argile_Profond";"Argile_Intermediaire";"Limon_Superficiel";"Limon_Profond";"Limon_Intermediaire";"Sable_Superficiel";"Sable_Profond";"Sable_Intermediaire"
"292-11_M";"Alluvial";604337.25;648227.25;81.36487401;0.37897185275;4.57;4.86;4.66;3.9;4.51;4.34;6.82;2.16;2.85;1.25;0.52;0.67;0.15;0.08;0.09;11.58;3.46;6.32;13.39;3.99;3.61;5.05;8.43;7.21;4.63;7.75;6.64;0.87;0.11;0.21;1.61;1.09;0.92;0.19;0.15;0.14;0.08;0.08;0.07;7.79;9.86;8.55;35.2;14.53;15.63;37;42;37;24;29;24;39;30;39
"292-11_N";"Alluvial";604357.55;648227.85;79.71727664;0.6662791135;4.67;4.88;3.98;4.41;5.58;4.57;3.22;0.79;2.26;0.94;0.42;0.79;0.13;0.1;0.11;9.85;3.85;7.62;1.3;2.7;1.61;7.17;8.58;7.65;6.49;7.92;6.92;0.69;0.5;0.43;1.6;2.82;1.56;0.22;0.19;0.2;0.06;0.07;0.07;9.74;12.16;9.91;26.4;29.45;22.81;46;53;46;25;22;25;29;25;29
"292-11_O";"Alluvial";604377.85;648228.45;71.13181373;0.9148583445;4.69;4.84;4.69;3.95;5.47;4.83;8.2;0.38;2.01;1.64;0.39;0.65;0.18;0.1;0.11;16.79;2.2;6.83;1.29;1.43;0.51;3.64;8.83;5.99;3.28;7.99;5.54;1.19;0.13;0.22;2.21;1.92;1.87;0.42;0.16;0.16;0.05;0.07;0.05;7.51;11.12;8.28;51.46;20.56;27.71;37;50;37;23;27;23;40;23;40
"292-11_P";"Alluvial";604377.85;648208.33;74.51694015;0.58211019175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_Q";"Alluvial";604357.55;648207.69;77.90553711;0.6581174685;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_R";"Alluvial";604337.25;648207.05;77.2085355;1.213866967;5.05;4.17;4.34;5.13;5.8;5.1;7.66;1;2.51;2.09;0.54;0.86;0.25;0.11;0.13;15.63;2.88;5.46;10.26;2.71;3.13;1.21;8.65;7.01;0.98;8.17;6.48;6.7;0.35;0.92;5;5.33;3.64;0.56;0.45;0.41;0.07;0.08;0.07;13.54;14.87;12.04;91.05;41.82;41.8;47;53;47;37;32;37;15;15;15
"292-11_S";"Alluvial";604316.95;648206.41;78.30906706;0.794102577;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_T";"Alluvial";604296.65;648205.77;74.55781164;0.681678112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_U";"Alluvial";604296.65;648185.49;72.23974047;1.093403469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"292-11_V";"Alluvial";604316.95;648186.17;75.90129485;0.83545613525;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
